Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,44,Lewis HamiltonHAM,Mercedes,72,16:33:34,1:11.097,215.654
2,77,Valtteri BottasBOT,Mercedes,69,16:30:25,1:12.549,211.338
3,33,Max VerstappenVER,Red Bull Racing Honda,60,16:18:26,1:13.275,209.244
4,11,Sergio PerezPER,Red Bull Racing Honda,59,16:19:00,1:13.461,208.714
5,5,Sebastian VettelVET,Aston Martin Mercedes,63,16:24:49,1:13.958,207.312
6,4,Lando NorrisNOR,McLaren Mercedes,48,16:05:15,1:14.236,206.535
7,14,Fernando AlonsoALO,Alpine Renault,60,16:20:05,1:14.323,206.294
8,31,Esteban OconOCO,Alpine Renault,54,16:12:40,1:14.675,205.321
9,16,Charles LeclercLEC,Ferrari,58,16:17:05,1:14.780,205.033
10,10,Pierre GaslyGAS,AlphaTauri Honda,57,16:15:45,1:14.818,204.929
11,3,Daniel RicciardoRIC,McLaren Mercedes,59,16:19:09,1:14.920,204.650
12,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,66,16:28:39,1:15.125,204.091
13,55,Carlos SainzSAI,Ferrari,45,16:01:00,1:15.260,203.725
14,88,Robert KubicaKUB,Alfa Romeo Racing Ferrari,44,16:00:54,1:15.442,203.234
15,18,Lance StrollSTR,Aston Martin Mercedes,57,16:16:50,1:15.611,202.780
16,63,George RussellRUS,Williams Mercedes,57,16:16:50,1:15.628,202.734
17,22,Yuki TsunodaTSU,AlphaTauri Honda,44,16:00:27,1:15.783,202.319
18,6,Nicholas LatifiLAT,Williams Mercedes,25,15:36:12,1:15.790,202.301
19,47,Mick SchumacherMSC,Haas Ferrari,36,15:51:45,1:15.927,201.936
20,9,Nikita MazepinMAZ,Haas Ferrari,35,15:49:29,1:16.066,201.567
