Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,3,Daniel RicciardoRIC,McLaren Mercedes,53,16:25:10,1:24.812,245.894
2,77,Valtteri BottasBOT,Mercedes,34,15:57:45,1:24.827,245.850
3,4,Lando NorrisNOR,McLaren Mercedes,53,16:25:12,1:24.971,245.434
4,11,Sergio PerezPER,Red Bull Racing Honda,53,16:25:14,1:25.156,244.901
5,33,Max VerstappenVER,Red Bull Racing Honda,25,15:40:09,1:25.173,244.852
6,16,Charles LeclercLEC,Ferrari,53,16:25:17,1:25.319,244.433
7,14,Fernando AlonsoALO,Alpine Renault,52,16:24:02,1:25.472,243.995
8,55,Carlos SainzSAI,Ferrari,53,16:25:21,1:25.559,243.747
9,31,Esteban OconOCO,Alpine Renault,53,16:25:31,1:25.566,243.727
10,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,50,16:21:19,1:25.718,243.295
11,63,George RussellRUS,Williams Mercedes,53,16:25:30,1:25.835,242.963
12,88,Robert KubicaKUB,Alfa Romeo Racing Ferrari,53,16:25:40,1:25.849,242.924
13,18,Lance StrollSTR,Aston Martin Mercedes,52,16:24:00,1:25.853,242.912
14,44,Lewis HamiltonHAM,Mercedes,3,15:07:55,1:25.870,242.864
15,5,Sebastian VettelVET,Aston Martin Mercedes,50,16:21:16,1:25.938,242.672
16,6,Nicholas LatifiLAT,Williams Mercedes,50,16:21:15,1:25.953,242.630
17,47,Mick SchumacherMSC,Haas Ferrari,52,16:24:34,1:26.707,240.520
18,9,Nikita MazepinMAZ,Haas Ferrari,41,16:08:50,1:27.202,239.155
19,10,Pierre GaslyGAS,AlphaTauri Honda,2,15:06:47,1:29.005,234.310
