Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,77,Valtteri BottasBOT,Mercedes,58,16:34:25,1:30.432,212.500
2,55,Carlos SainzSAI,Ferrari,49,16:21:24,1:31.921,209.057
3,4,Lando NorrisNOR,McLaren Mercedes,50,16:22:44,1:32.446,207.870
4,11,Sergio PerezPER,Red Bull Racing Honda,53,16:27:11,1:32.459,207.841
5,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,50,16:23:40,1:32.586,207.556
6,18,Lance StrollSTR,Aston Martin Mercedes,58,16:35:47,1:32.608,207.506
7,5,Sebastian VettelVET,Aston Martin Mercedes,54,16:30:43,1:32.730,207.233
8,16,Charles LeclercLEC,Ferrari,57,16:33:29,1:32.737,207.218
9,33,Max VerstappenVER,Red Bull Racing Honda,53,16:26:52,1:32.759,207.169
10,44,Lewis HamiltonHAM,Mercedes,52,16:25:43,1:32.763,207.160
11,10,Pierre GaslyGAS,AlphaTauri Honda,50,16:22:40,1:32.814,207.046
12,22,Yuki TsunodaTSU,AlphaTauri Honda,54,16:30:09,1:32.844,206.979
13,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,57,16:34:37,1:32.904,206.845
14,14,Fernando AlonsoALO,Alpine Renault,55,16:31:47,1:33.252,206.073
15,3,Daniel RicciardoRIC,McLaren Mercedes,34,15:58:07,1:33.255,206.067
16,63,George RussellRUS,Williams Mercedes,53,16:28:38,1:33.399,205.749
17,6,Nicholas LatifiLAT,Williams Mercedes,48,16:20:52,1:33.672,205.149
18,47,Mick SchumacherMSC,Haas Ferrari,52,16:28:14,1:34.209,203.980
19,31,Esteban OconOCO,Alpine Renault,24,15:41:50,1:34.584,203.171
20,9,Nikita MazepinMAZ,Haas Ferrari,52,16:28:32,1:35.438,201.353
