Pos,No,Driver,Car,Time,Gap,Laps
1,11,Sergio PerezPER,Red Bull Racing Honda,1:42.115,,22
2,33,Max VerstappenVER,Red Bull Racing Honda,1:42.216,+0.101s,23
3,55,Carlos SainzSAI,Ferrari,1:42.243,+0.128s,24
4,16,Charles LeclercLEC,Ferrari,1:42.436,+0.321s,22
5,10,Pierre GaslyGAS,AlphaTauri Honda,1:42.534,+0.419s,26
6,14,Fernando AlonsoALO,Alpine Renault,1:42.693,+0.578s,24
7,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:42.941,+0.826s,25
8,4,Lando NorrisNOR,McLaren Mercedes,1:43.018,+0.903s,24
9,31,Esteban OconOCO,Alpine Renault,1:43.020,+0.905s,23
10,22,Yuki TsunodaTSU,AlphaTauri Honda,1:43.130,+1.015s,25
11,44,Lewis HamiltonHAM,Mercedes,1:43.156,+1.041s,24
12,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:43.220,+1.105s,23
13,3,Daniel RicciardoRIC,McLaren Mercedes,1:43.298,+1.183s,23
14,18,Lance StrollSTR,Aston Martin Mercedes,1:43.812,+1.697s,21
15,5,Sebastian VettelVET,Aston Martin Mercedes,1:43.881,+1.766s,22
16,77,Valtteri BottasBOT,Mercedes,1:44.184,+2.069s,23
17,63,George RussellRUS,Williams Mercedes,1:44.557,+2.442s,24
18,9,Nikita MazepinMAZ,Haas Ferrari,1:45.563,+3.448s,23
19,47,Mick SchumacherMSC,Haas Ferrari,1:46.095,+3.980s,12
20,6,Nicholas LatifiLAT,Williams Mercedes,1:46.983,+4.868s,5
