Pos,No,Driver,Car,Time,Gap,Laps
1,44,Lewis HamiltonHAM,Mercedes,1:04.369,,19
2,33,Max VerstappenVER,Red Bull Racing Honda,1:04.573,+0.204s,16
3,77,Valtteri BottasBOT,Mercedes,1:04.832,+0.463s,25
4,11,Sergio PerezPER,Red Bull Racing Honda,1:05.026,+0.657s,21
5,22,Yuki TsunodaTSU,AlphaTauri Honda,1:05.150,+0.781s,23
6,10,Pierre GaslyGAS,AlphaTauri Honda,1:05.298,+0.929s,22
7,16,Charles LeclercLEC,Ferrari,1:05.340,+0.971s,21
8,14,Fernando AlonsoALO,Alpine Renault,1:05.400,+1.031s,24
9,18,Lance StrollSTR,Aston Martin Mercedes,1:05.445,+1.076s,18
10,5,Sebastian VettelVET,Aston Martin Mercedes,1:05.492,+1.123s,20
11,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:05.556,+1.187s,24
12,31,Esteban OconOCO,Alpine Renault,1:05.676,+1.307s,22
13,55,Carlos SainzSAI,Ferrari,1:05.698,+1.329s,22
14,63,George RussellRUS,Williams Mercedes,1:05.863,+1.494s,23
15,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:05.942,+1.573s,25
16,47,Mick SchumacherMSC,Haas Ferrari,1:05.992,+1.623s,24
17,3,Daniel RicciardoRIC,McLaren Mercedes,1:06.116,+1.747s,20
18,6,Nicholas LatifiLAT,Williams Mercedes,1:06.119,+1.750s,22
19,4,Lando NorrisNOR,McLaren Mercedes,1:06.654,+2.285s,19
20,9,Nikita MazepinMAZ,Haas Ferrari,1:06.692,+2.323s,22
