Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,33,Max VerstappenVER,Red Bull Racing Honda,1:10.036,1:09.071,1:08.885,15
2,44,Lewis HamiltonHAM,Mercedes,1:10.114,1:09.726,1:08.923,17
3,77,Valtteri BottasBOT,Mercedes,1:10.219,1:09.769,1:09.222,17
4,10,Pierre GaslyGAS,AlphaTauri Honda,1:10.274,1:09.541,1:09.478,17
5,16,Charles LeclercLEC,Ferrari,1:09.829,1:09.437,1:09.527,18
6,55,Carlos SainzSAI,Ferrari,1:10.022,1:09.870,1:09.537,19
7,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:10.050,1:10.033,1:09.590,17
8,31,Esteban OconOCO,Alpine Renault,1:10.179,1:09.919,1:09.933,17
9,14,Fernando AlonsoALO,Alpine Renault,1:10.435,1:10.020,1:09.956,13
10,3,Daniel RicciardoRIC,McLaren Mercedes,1:10.255,1:09.865,1:10.166,17
11,63,George RussellRUS,Williams Mercedes,1:10.382,1:10.332,,13
12,18,Lance StrollSTR,Aston Martin Mercedes,1:10.438,1:10.367,,13
13,4,Lando NorrisNOR,McLaren Mercedes,1:10.489,1:10.406,,13
14,6,Nicholas LatifiLAT,Williams Mercedes,1:10.093,1:11.161,,16
15,22,Yuki TsunodaTSU,AlphaTauri Honda,1:10.462,1:11.314,,15
16,11,Sergio PerezPER,Red Bull Racing Honda,1:10.530,,,9
17,5,Sebastian VettelVET,Aston Martin Mercedes,1:10.731,,,7
18,88,Robert KubicaKUB,Alfa Romeo Racing Ferrari,1:11.301,,,9
19,47,Mick SchumacherMSC,Haas Ferrari,1:11.387,,,11
20,9,Nikita MazepinMAZ,Haas Ferrari,1:11.875,,,10
