Pos,No,Driver,Car,Laps,Time/retired,Pts
1,44,Lewis HamiltonHAM,Mercedes,57,1:24:28.471,25
2,33,Max VerstappenVER,Red Bull Racing Honda,57,+25.743s,19
3,14,Fernando AlonsoALO,Alpine Renault,57,+59.457s,15
4,11,Sergio PerezPER,Red Bull Racing Honda,57,+62.306s,12
5,31,Esteban OconOCO,Alpine Renault,57,+80.570s,10
6,18,Lance StrollSTR,Aston Martin Mercedes,57,+81.274s,8
7,55,Carlos SainzSAI,Ferrari,57,+81.911s,6
8,16,Charles LeclercLEC,Ferrari,57,+83.126s,4
9,4,Lando NorrisNOR,McLaren Mercedes,56,+1 lap,2
10,5,Sebastian VettelVET,Aston Martin Mercedes,56,+1 lap,1
11,10,Pierre GaslyGAS,AlphaTauri Honda,56,+1 lap,0
12,3,Daniel RicciardoRIC,McLaren Mercedes,56,+1 lap,0
13,22,Yuki TsunodaTSU,AlphaTauri Honda,56,+1 lap,0
14,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,56,+1 lap,0
15,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,56,+1 lap,0
16,47,Mick SchumacherMSC,Haas Ferrari,56,+1 lap,0
17,63,George RussellRUS,Williams Mercedes,55,+2 laps,0
18,9,Nikita MazepinMAZ,Haas Ferrari,55,+2 laps,0
NC,6,Nicholas LatifiLAT,Williams Mercedes,50,DNF,0
NC,77,Valtteri BottasBOT,Mercedes,48,DNF,0
