Pos,No,Driver,Car,Time
1,77,Valtteri BottasBOT,Mercedes,1:19.555
2,44,Lewis HamiltonHAM,Mercedes,1:19.651
3,33,Max VerstappenVER,Red Bull Racing Honda,1:19.966
4,4,Lando NorrisNOR,McLaren Mercedes,1:19.989
5,3,Daniel RicciardoRIC,McLaren Mercedes,1:19.995
6,10,Pierre GaslyGAS,AlphaTauri Honda,1:20.260
7,55,Carlos SainzSAI,Ferrari,1:20.462
8,16,Charles LeclercLEC,Ferrari,1:20.510
9,11,Sergio PerezPER,Red Bull Racing Honda,1:20.611
10,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:20.808
11,5,Sebastian VettelVET,Aston Martin Mercedes,1:20.913
12,18,Lance StrollSTR,Aston Martin Mercedes,1:21.020
13,14,Fernando AlonsoALO,Alpine Renault,1:21.069
14,31,Esteban OconOCO,Alpine Renault,1:21.103
15,63,George RussellRUS,Williams Mercedes,1:21.392
16,6,Nicholas LatifiLAT,Williams Mercedes,1:21.925
17,22,Yuki TsunodaTSU,AlphaTauri Honda,1:21.973
18,47,Mick SchumacherMSC,Haas Ferrari,1:22.248
19,88,Robert KubicaKUB,Alfa Romeo Racing Ferrari,1:22.530
20,9,Nikita MazepinMAZ,Haas Ferrari,1:22.716
