Pos,No,Driver,Car,Laps,Time/retired,Pts
1,33,Max VerstappenVER,Red Bull Racing Honda,17,25:38.426,3
2,44,Lewis HamiltonHAM,Mercedes,17,+1.430s,2
3,77,Valtteri BottasBOT,Mercedes,17,+7.502s,1
4,16,Charles LeclercLEC,Ferrari,17,+11.278s,0
5,4,Lando NorrisNOR,McLaren Mercedes,17,+24.111s,0
6,3,Daniel RicciardoRIC,McLaren Mercedes,17,+30.959s,0
7,14,Fernando AlonsoALO,Alpine Renault,17,+43.527s,0
8,5,Sebastian VettelVET,Aston Martin Mercedes,17,+44.439s,0
9,63,George RussellRUS,Williams Mercedes,17,+46.652s,0
10,31,Esteban OconOCO,Alpine Renault,17,+47.395s,0
11,55,Carlos SainzSAI,Ferrari,17,+47.798s,0
12,10,Pierre GaslyGAS,AlphaTauri Honda,17,+48.763s,0
13,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,17,+50.677s,0
14,18,Lance StrollSTR,Aston Martin Mercedes,17,+52.179s,0
15,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,17,+53.225s,0
16,22,Yuki TsunodaTSU,AlphaTauri Honda,17,+53.567s,0
17,6,Nicholas LatifiLAT,Williams Mercedes,17,+55.162s,0
18,47,Mick SchumacherMSC,Haas Ferrari,17,+68.213s,0
19,9,Nikita MazepinMAZ,Haas Ferrari,17,+77.648s,0
20,11,Sergio PerezPER,Red Bull Racing Honda,16,DNF,0
