Pos,No,Driver,Car,Laps,Time/retired,Pts
1,77,Valtteri BottasBOT,Mercedes,18,27:54.078,3
2,33,Max VerstappenVER,Red Bull Racing Honda,18,+2.325s,2
3,3,Daniel RicciardoRIC,McLaren Mercedes,18,+14.534s,1
4,4,Lando NorrisNOR,McLaren Mercedes,18,+18.835s,0
5,44,Lewis HamiltonHAM,Mercedes,18,+20.011s,0
6,16,Charles LeclercLEC,Ferrari,18,+23.442s,0
7,55,Carlos SainzSAI,Ferrari,18,+27.952s,0
8,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,18,+31.089s,0
9,11,Sergio PerezPER,Red Bull Racing Honda,18,+31.680s,0
10,18,Lance StrollSTR,Aston Martin Mercedes,18,+38.671s,0
11,14,Fernando AlonsoALO,Alpine Renault,18,+39.795s,0
12,5,Sebastian VettelVET,Aston Martin Mercedes,18,+41.177s,0
13,31,Esteban OconOCO,Alpine Renault,18,+43.373s,0
14,6,Nicholas LatifiLAT,Williams Mercedes,18,+45.977s,0
15,63,George RussellRUS,Williams Mercedes,18,+46.821s,0
16,22,Yuki TsunodaTSU,AlphaTauri Honda,18,+49.977s,0
17,9,Nikita MazepinMAZ,Haas Ferrari,18,+62.599s,0
18,88,Robert KubicaKUB,Alfa Romeo Racing Ferrari,18,+65.096s,0
19,47,Mick SchumacherMSC,Haas Ferrari,18,+66.154s,0
NC,10,Pierre GaslyGAS,AlphaTauri Honda,0,DNF,0
