Pos,No,Driver,Car
1,33,Max VerstappenVER,Red Bull Racing Honda
2,3,Daniel RicciardoRIC,McLaren Mercedes
3,4,Lando NorrisNOR,McLaren Mercedes
4,44,Lewis HamiltonHAM,Mercedes
5,16,Charles LeclercLEC,Ferrari
6,55,Carlos SainzSAI,Ferrari
7,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari
8,11,Sergio PerezPER,Red Bull Racing Honda
9,18,Lance StrollSTR,Aston Martin Mercedes
10,14,Fernando AlonsoALO,Alpine Renault
11,5,Sebastian VettelVET,Aston Martin Mercedes
12,31,Esteban OconOCO,Alpine Renault
13,6,Nicholas LatifiLAT,Williams Mercedes
14,63,George RussellRUS,Williams Mercedes
15,22,Yuki TsunodaTSU,AlphaTauri Honda
16,9,Nikita MazepinMAZ,Haas Ferrari
17,88,Robert KubicaKUB,Alfa Romeo Racing Ferrari
18,47,Mick SchumacherMSC,Haas Ferrari
19,77,Valtteri BottasBOT,Mercedes
