Pos,No,Driver,Car,Laps,Time/retired,Pts
1,1,Max VerstappenVER,Red Bull Racing RBPT,57,1:34:24.258,26
2,16,Charles LeclercLEC,Ferrari,57,+3.786s,18
3,55,Carlos SainzSAI,Ferrari,57,+8.229s,15
4,11,Sergio PerezPER,Red Bull Racing RBPT,57,+10.638s,12
5,63,George RussellRUS,Mercedes,57,+18.582s,10
6,44,Lewis HamiltonHAM,Mercedes,57,+21.368s,8
7,77,Valtteri BottasBOT,Alfa Romeo Ferrari,57,+25.073s,6
8,31,Esteban OconOCO,Alpine Renault,57,+28.386s,4
9,23,Alexander AlbonALB,Williams Mercedes,57,+32.365s,2
10,18,Lance StrollSTR,Aston Martin Aramco Mercedes,57,+37.026s,1
11,14,Fernando AlonsoALO,Alpine Renault,57,+37.128s,0
12,22,Yuki TsunodaTSU,AlphaTauri RBPT,57,+40.146s,0
13,3,Daniel RicciardoRIC,McLaren Mercedes,57,+40.902s,0
14,6,Nicholas LatifiLAT,Williams Mercedes,57,+49.936s,0
15,47,Mick SchumacherMSC,Haas Ferrari,57,+73.305s,0
16,20,Kevin MagnussenMAG,Haas Ferrari,56,DNF,0
17,5,Sebastian VettelVET,Aston Martin Aramco Mercedes,54,DNF,0
NC,10,Pierre GaslyGAS,AlphaTauri RBPT,45,DNF,0
NC,4,Lando NorrisNOR,McLaren Mercedes,39,DNF,0
NC,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,6,DNF,0
