Pos,No,Driver,Car,Time
1,16,Charles LeclercLEC,Ferrari,1:28.796
2,55,Carlos SainzSAI,Ferrari,1:28.986
3,1,Max VerstappenVER,Red Bull Racing RBPT,1:28.991
4,11,Sergio PerezPER,Red Bull Racing RBPT,1:29.036
5,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:29.475
6,44,Lewis HamiltonHAM,Mercedes,1:29.625
7,10,Pierre GaslyGAS,AlphaTauri RBPT,1:29.690
8,4,Lando NorrisNOR,McLaren Mercedes,1:29.750
9,22,Yuki TsunodaTSU,AlphaTauri RBPT,1:29.932
10,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:30.676
11,14,Fernando AlonsoALO,Alpine Renault,1:30.160
12,63,George RussellRUS,Mercedes,1:30.173
13,5,Sebastian VettelVET,Aston Martin Aramco Mercedes,1:30.214
14,3,Daniel RicciardoRIC,McLaren Mercedes,1:30.310
15,47,Mick SchumacherMSC,Haas Ferrari,1:30.423
16,20,Kevin MagnussenMAG,Haas Ferrari,1:30.975
17,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:31.020
18,23,Alexander AlbonALB,Williams Mercedes,1:31.266
19,6,Nicholas LatifiLAT,Williams Mercedes,1:31.325
20,31,Esteban OconOCO,Alpine Renault,
