Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,56,19:38:14,1:33.996,207.276
2,10,Pierre GaslyGAS,Alpine Renault,42,19:14:37,1:35.068,204.939
3,4,Lando NorrisNOR,McLaren Mercedes,51,19:30:44,1:35.822,203.327
4,2,Logan SargeantSAR,Williams Mercedes,42,19:14:48,1:36.037,202.871
5,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,36,19:03:44,1:36.156,202.620
6,1,Max VerstappenVER,Red Bull Racing Honda RBPT,44,19:16:35,1:36.236,202.452
7,11,Sergio PerezPER,Red Bull Racing Honda RBPT,37,19:04:59,1:36.344,202.225
8,20,Kevin MagnussenMAG,Haas Ferrari,42,19:15:01,1:36.471,201.959
9,18,Lance StrollSTR,Aston Martin Aramco Mercedes,32,18:57:21,1:36.546,201.802
10,44,Lewis HamiltonHAM,Mercedes,36,19:03:44,1:36.546,201.802
11,27,Nico HulkenbergHUL,Haas Ferrari,42,19:15:10,1:36.616,201.656
12,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,42,19:14:42,1:36.637,201.612
13,31,Esteban OconOCO,Alpine Renault,34,19:02:00,1:36.797,201.278
14,55,Carlos SainzSAI,Ferrari,37,19:05:18,1:37.130,200.588
15,23,Alexander AlbonALB,Williams Mercedes,43,19:16:16,1:37.144,200.559
16,16,Charles LeclercLEC,Ferrari,37,19:05:10,1:37.170,200.506
17,63,George RussellRUS,Mercedes,33,18:58:59,1:37.221,200.401
18,77,Valtteri BottasBOT,Alfa Romeo Ferrari,31,18:55:54,1:37.379,200.075
19,21,Nyck De VriesDEV,AlphaTauri Honda RBPT,30,18:54:34,1:37.709,199.400
20,81,Oscar PiastriPIA,McLaren Mercedes,3,18:08:48,1:40.691,193.494
