Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,53,16:17:58,1:20.504,195.910
2,44,Lewis HamiltonHAM,Mercedes,54,16:19:54,1:21.601,193.277
3,63,George RussellRUS,Mercedes,48,16:11:53,1:22.158,191.966
4,4,Lando NorrisNOR,McLaren Mercedes,50,16:14:03,1:22.178,191.919
5,11,Sergio PerezPER,Red Bull Racing Honda RBPT,53,16:18:20,1:22.295,191.647
6,16,Charles LeclercLEC,Ferrari,50,16:14:30,1:22.469,191.242
7,55,Carlos SainzSAI,Ferrari,54,16:20:06,1:22.584,190.976
8,81,Oscar PiastriPIA,McLaren Mercedes,45,16:07:18,1:22.736,190.625
9,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,51,16:16:08,1:22.745,190.604
10,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,68,16:40:41,1:23.269,189.405
11,18,Lance StrollSTR,Aston Martin Aramco Mercedes,54,16:20:25,1:23.425,189.051
12,2,Logan SargeantSAR,Williams Mercedes,36,15:55:31,1:23.496,188.890
13,27,Nico HulkenbergHUL,Haas Ferrari,42,16:03:55,1:23.573,188.716
14,77,Valtteri BottasBOT,Alfa Romeo Ferrari,42,16:03:49,1:23.651,188.540
15,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,12,15:20:56,1:23.743,188.333
16,20,Kevin MagnussenMAG,Haas Ferrari,54,16:21:12,1:23.864,188.061
17,3,Daniel RicciardoRIC,AlphaTauri Honda RBPT,67,16:38:59,1:23.934,187.904
18,23,Alexander AlbonALB,Williams Mercedes,54,16:20:39,1:24.051,187.643
