Stops,No,Driver,Car,Lap,Time of day,Time,Total
1,10,Pierre GaslyGAS,Alpine Renault,5,15:13:22,20.235,20.235
1,77,Valtteri BottasBOT,Alfa Romeo Ferrari,6,15:15:14,20.967,20.967
1,23,Alexander AlbonALB,Williams Mercedes,7,15:16:57,21.103,21.103
1,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,8,15:18:43,20.497,20.497
1,81,Oscar PiastriPIA,McLaren Mercedes,8,15:18:44,20.902,20.902
1,2,Logan SargeantSAR,Williams Mercedes,8,15:18:50,21.015,21.015
1,44,Lewis HamiltonHAM,Mercedes,9,15:20:23,20.324,20.324
1,4,Lando NorrisNOR,McLaren Mercedes,9,15:20:27,20.346,20.346
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,10,15:22:00,20.707,20.707
1,20,Kevin MagnussenMAG,Haas Ferrari,10,15:22:35,30.951,30.951
1,11,Sergio PerezPER,Red Bull Racing Honda RBPT,11,15:24:20,20.389,20.389
1,16,Charles LeclercLEC,Ferrari,11,15:24:25,21.126,21.126
1,55,Carlos SainzSAI,Ferrari,11,15:24:33,21.970,21.970
1,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,11,15:24:35,23.148,23.148
1,63,George RussellRUS,Mercedes,11,15:24:42,20.459,20.459
1,18,Lance StrollSTR,Aston Martin Aramco Mercedes,11,15:24:42,23.161,23.161
1,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,11,15:25:01,22.247,22.247
2,77,Valtteri BottasBOT,Alfa Romeo Ferrari,12,15:27:47,22.354,43.321
2,10,Pierre GaslyGAS,Alpine Renault,23,15:48:15,21.169,41.404
3,77,Valtteri BottasBOT,Alfa Romeo Ferrari,34,16:08:14,21.012,1:04.333
2,63,George RussellRUS,Mercedes,49,16:34:10,21.389,41.848
1,27,Nico HulkenbergHUL,Haas Ferrari,49,16:34:47,24.748,24.748
1,31,Esteban OconOCO,Alpine Renault,50,16:36:20,20.367,20.367
