Pos,No,Driver,Car,Time,Gap,Laps
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:28.600,,26
2,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:29.048,+0.448s,22
3,23,Alexander AlbonALB,Williams Mercedes,1:29.089,+0.489s,22
4,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:29.268,+0.668s,21
5,16,Charles LeclercLEC,Ferrari,1:29.280,+0.680s,25
6,31,Esteban OconOCO,Alpine Renault,1:29.319,+0.719s,23
7,55,Carlos SainzSAI,Ferrari,1:29.357,+0.757s,25
8,4,Lando NorrisNOR,McLaren Mercedes,1:29.441,+0.841s,25
9,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:29.471,+0.871s,26
10,81,Oscar PiastriPIA,McLaren Mercedes,1:29.658,+1.058s,16
11,21,Nyck De VriesDEV,AlphaTauri Honda RBPT,1:29.691,+1.091s,26
12,44,Lewis HamiltonHAM,Mercedes,1:29.768,+1.168s,23
13,10,Pierre GaslyGAS,Alpine Renault,1:29.828,+1.228s,24
14,63,George RussellRUS,Mercedes,1:29.874,+1.274s,28
15,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:30.090,+1.490s,22
16,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,1:30.092,+1.492s,28
17,2,Logan SargeantSAR,Williams Mercedes,1:30.124,+1.524s,24
18,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:30.321,+1.721s,20
19,20,Kevin MagnussenMAG,Haas Ferrari,1:30.385,+1.785s,21
20,27,Nico HulkenbergHUL,Haas Ferrari,1:30.591,+1.991s,22
