Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:29.244,1:28.635,1:28.265,18
2,16,Charles LeclercLEC,Ferrari,1:29.376,1:28.903,1:28.420,19
3,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:29.298,1:28.757,1:28.730,18
4,63,George RussellRUS,Mercedes,1:29.592,1:29.132,1:28.857,21
5,55,Carlos SainzSAI,Ferrari,1:29.411,1:28.957,1:28.931,24
6,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:29.335,1:28.962,1:28.945,20
7,31,Esteban OconOCO,Alpine Renault,1:29.707,1:29.255,1:29.078,24
8,44,Lewis HamiltonHAM,Mercedes,1:29.689,1:29.374,1:29.223,21
9,81,Oscar PiastriPIA,McLaren Mercedes,1:29.706,1:29.378,1:29.243,23
10,10,Pierre GaslyGAS,Alpine Renault,1:29.890,1:29.411,1:29.357,23
11,27,Nico HulkenbergHUL,Haas Ferrari,1:29.547,1:29.451,,18
12,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:29.654,1:29.461,,18
13,20,Kevin MagnussenMAG,Haas Ferrari,1:29.744,1:29.634,,17
14,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:29.929,1:29.668,,18
15,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:28.761,1:49.953,,6
16,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,1:29.939,,,10
17,23,Alexander AlbonALB,Williams Mercedes,1:29.994,,,9
18,21,Nyck De VriesDEV,AlphaTauri Honda RBPT,1:30.244,,,10
19,4,Lando NorrisNOR,McLaren Mercedes,1:30.447,,,4
NC,2,Logan SargeantSAR,Williams Mercedes,2:08.510,,,8
