Pos,No,Driver,Car,Time
1,16,Charles LeclercLEC,Ferrari,1:41.697
2,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:41.844
3,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:41.987
4,63,George RussellRUS,Mercedes,1:42.252
5,55,Carlos SainzSAI,Ferrari,1:42.287
6,44,Lewis HamiltonHAM,Mercedes,1:42.502
7,23,Alexander AlbonALB,Williams Mercedes,1:42.846
8,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:43.010
9,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:43.064
10,4,Lando NorrisNOR,McLaren Mercedes,
11,81,Oscar PiastriPIA,McLaren Mercedes,1:43.427
12,27,Nico HulkenbergHUL,Haas Ferrari,1:43.806
13,20,Kevin MagnussenMAG,Haas Ferrari,1:44.332
14,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:45.177
15,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:45.352
16,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,1:45.436
17,10,Pierre GaslyGAS,Alpine Renault,1:46.951
18,21,Nyck De VriesDEV,AlphaTauri Honda RBPT,1:48.180
