Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:58.135,1:55.200,1:49.056,14
2,81,Oscar PiastriPIA,McLaren Mercedes,2:00.056,1:56.392,1:49.067,14
3,55,Carlos SainzSAI,Ferrari,1:59.414,1:56.557,1:49.081,14
4,16,Charles LeclercLEC,Ferrari,1:59.575,1:56.265,1:49.251,14
5,4,Lando NorrisNOR,McLaren Mercedes,2:00.436,1:56.828,1:49.389,16
6,10,Pierre GaslyGAS,Alpine Renault,2:00.032,1:56.137,1:49.700,15
7,44,Lewis HamiltonHAM,Mercedes,1:58.939,1:55.823,1:49.900,16
8,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:59.362,1:55.878,1:49.961,14
9,31,Esteban OconOCO,Alpine Renault,1:59.884,1:57.051,1:50.494,15
10,63,George RussellRUS,Mercedes,2:00.475,1:57.393,1:55.742,13
11,3,Daniel RicciardoRIC,AlphaTauri Honda RBPT,2:00.177,1:57.687,,10
12,23,Alexander AlbonALB,Williams Mercedes,1:59.198,DNF,,8
13,2,Logan SargeantSAR,Williams Mercedes,2:00.031,DNF,,10
14,18,Lance StrollSTR,Aston Martin Aramco Mercedes,2:00.460,DNF,,9
15,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:59.038,DNS,,6
16,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,2:00.568,,,6
17,77,Valtteri BottasBOT,Alfa Romeo Ferrari,2:00.951,,,6
18,20,Kevin MagnussenMAG,Haas Ferrari,2:01.079,,,7
19,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,2:01.430,,,7
NC,27,Nico HulkenbergHUL,Haas Ferrari,DNF,,,6
