Pos,No,Driver,Car,Laps,Time/retired,Pts
1,11,Sergio PerezPER,Red Bull Racing Honda RBPT,17,33:17.667,8
2,16,Charles LeclercLEC,Ferrari,17,+4.463s,7
3,1,Max VerstappenVER,Red Bull Racing Honda RBPT,17,+5.065s,6
4,63,George RussellRUS,Mercedes,17,+8.532s,5
5,55,Carlos SainzSAI,Ferrari,17,+10.388s,4
6,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,17,+11.613s,3
7,44,Lewis HamiltonHAM,Mercedes,17,+16.503s,2
8,18,Lance StrollSTR,Aston Martin Aramco Mercedes,17,+18.417s,1
9,23,Alexander AlbonALB,Williams Mercedes,17,+21.757s,0
10,81,Oscar PiastriPIA,McLaren Mercedes,17,+22.851s,0
11,20,Kevin MagnussenMAG,Haas Ferrari,17,+27.990s,0
12,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,17,+34.602s,0
13,10,Pierre GaslyGAS,Alpine Renault,17,+36.918s,0
14,21,Nyck De VriesDEV,AlphaTauri Honda RBPT,17,+41.626s,0
15,27,Nico HulkenbergHUL,Haas Ferrari,17,+48.587s,0
16,77,Valtteri BottasBOT,Alfa Romeo Ferrari,17,+49.917s,0
17,4,Lando NorrisNOR,McLaren Mercedes,17,+51.104s,0
18,31,Esteban OconOCO,Alpine Renault,17,+60.621s,0
NC,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,2,DNF,0
