Pos,No,Driver,Car,Time
1,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:28.265
2,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:28.730
3,63,George RussellRUS,Mercedes,1:28.857
4,55,Carlos SainzSAI,Ferrari,1:28.931
5,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:28.945
6,31,Esteban OconOCO,Alpine Renault,1:29.078
7,44,Lewis HamiltonHAM,Mercedes,1:29.223
8,81,Oscar PiastriPIA,McLaren Mercedes,1:29.243
9,10,Pierre GaslyGAS,Alpine Renault,1:29.357
10,27,Nico HulkenbergHUL,Haas Ferrari,1:29.451
11,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:29.461
12,16,Charles LeclercLEC,Ferrari,1:28.420
13,20,Kevin MagnussenMAG,Haas Ferrari,1:29.634
14,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:29.668
15,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:49.953
16,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,1:29.939
17,23,Alexander AlbonALB,Williams Mercedes,1:29.994
18,21,Nyck De VriesDEV,AlphaTauri Honda RBPT,1:30.244
19,4,Lando NorrisNOR,McLaren Mercedes,1:30.447
20,2,Logan SargeantSAR,Williams Mercedes,2:08.510
