Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,81,Oscar PiastriPIA,McLaren Mercedes,43,17:13:35,1:30.634,214.965
2,23,Alexander AlbonALB,Williams Mercedes,55,17:32:26,1:30.849,214.456
3,11,Sergio PerezPER,Red Bull Racing Honda RBPT,55,17:31:25,1:30.855,214.442
4,55,Carlos SainzSAI,Ferrari,55,17:31:22,1:30.928,214.270
5,4,Lando NorrisNOR,McLaren Mercedes,55,17:31:10,1:30.980,214.148
6,16,Charles LeclercLEC,Ferrari,56,17:32:51,1:31.084,213.903
7,44,Lewis HamiltonHAM,Mercedes,54,17:29:55,1:31.233,213.554
8,1,Max VerstappenVER,Red Bull Racing Honda RBPT,48,17:20:37,1:31.261,213.488
9,18,Lance StrollSTR,Aston Martin Aramco Mercedes,57,17:34:58,1:31.588,212.726
10,22,Yuki TsunodaTSU,RB Honda RBPT,55,17:31:35,1:31.682,212.508
11,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,55,17:31:46,1:31.727,212.404
12,20,Kevin MagnussenMAG,Haas Ferrari,33,16:58:09,1:31.774,212.295
13,63,George RussellRUS,Mercedes,43,17:13:13,1:31.921,211.955
14,27,Nico HulkenbergHUL,Haas Ferrari,56,17:33:22,1:31.941,211.909
15,24,Zhou GuanyuZHO,Kick Sauber Ferrari,56,17:33:30,1:31.991,211.794
16,31,Esteban OconOCO,Alpine Renault,51,17:25:39,1:32.037,211.688
17,10,Pierre GaslyGAS,Alpine Renault,56,17:33:26,1:32.055,211.647
18,77,Valtteri BottasBOT,Kick Sauber Ferrari,55,17:32:00,1:32.098,211.548
19,3,Daniel RicciardoRIC,RB Honda RBPT,57,17:35:04,1:32.122,211.493
20,2,Logan SargeantSAR,Williams Mercedes,15,16:27:27,1:33.452,208.483
