Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,44,Lewis HamiltonHAM,Mercedes,63,17:07:47,1:14.165,161.979
2,1,Max VerstappenVER,Red Bull Racing Honda RBPT,58,17:01:25,1:14.569,161.101
3,24,Zhou GuanyuZHO,Kick Sauber Ferrari,75,17:26:04,1:14.718,160.780
4,22,Yuki TsunodaTSU,RB Honda RBPT,77,17:27:06,1:14.720,160.776
5,55,Carlos SainzSAI,Ferrari,62,17:06:08,1:14.726,160.763
6,16,Charles LeclercLEC,Ferrari,71,17:17:29,1:15.162,159.830
7,63,George RussellRUS,Mercedes,73,17:20:21,1:15.228,159.690
8,2,Logan SargeantSAR,Williams Mercedes,62,17:08:29,1:15.525,159.062
9,10,Pierre GaslyGAS,Alpine Renault,77,17:27:26,1:15.625,158.852
10,4,Lando NorrisNOR,McLaren Mercedes,64,17:08:42,1:15.742,158.606
11,81,Oscar PiastriPIA,McLaren Mercedes,73,17:20:10,1:16.281,157.486
12,77,Valtteri BottasBOT,Kick Sauber Ferrari,17,16:07:57,1:16.561,156.910
13,18,Lance StrollSTR,Aston Martin Aramco Mercedes,59,17:04:16,1:16.710,156.605
14,23,Alexander AlbonALB,Williams Mercedes,77,17:27:20,1:17.060,155.894
15,3,Daniel RicciardoRIC,RB Honda RBPT,46,16:46:52,1:17.172,155.667
16,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,68,17:16:00,1:17.939,154.135
