Pos,No,Driver,Car,Time,Gap,Laps
1,44,Lewis HamiltonHAM,Mercedes,1:33.825,,25
2,4,Lando NorrisNOR,McLaren Mercedes,1:33.836,+0.011s,25
3,63,George RussellRUS,Mercedes,1:34.015,+0.190s,29
4,55,Carlos SainzSAI,Ferrari,1:34.105,+0.280s,29
5,16,Charles LeclercLEC,Ferrari,1:34.313,+0.488s,29
6,10,Pierre GaslyGAS,Alpine Renault,1:34.651,+0.826s,30
7,20,Kevin MagnussenMAG,Haas Ferrari,1:34.686,+0.861s,20
8,81,Oscar PiastriPIA,McLaren Mercedes,1:34.798,+0.973s,26
9,27,Nico HulkenbergHUL,Haas Ferrari,1:34.818,+0.993s,24
10,22,Yuki TsunodaTSU,RB Honda RBPT,1:34.997,+1.172s,23
11,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:35.020,+1.195s,28
12,31,Esteban OconOCO,Alpine Renault,1:35.221,+1.396s,26
13,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:35.251,+1.426s,27
14,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:35.440,+1.615s,25
15,30,Liam LawsonLAW,RB Honda RBPT,1:35.671,+1.846s,24
16,24,Zhou GuanyuZHO,Kick Sauber Ferrari,1:35.765,+1.940s,28
17,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:35.834,+2.009s,25
18,43,Franco ColapintoCOL,Williams Mercedes,1:35.868,+2.043s,30
19,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:36.055,+2.230s,25
20,23,Alexander AlbonALB,Williams Mercedes,1:39.629,+5.804s,4
