Pos,No,Driver,Car,Time,Gap,Laps
1,81,Oscar PiastriPIA,McLaren Mercedes,1:34.725,,7
2,44,Lewis HamiltonHAM,Mercedes,1:35.226,+0.501s,6
3,16,Charles LeclercLEC,Ferrari,1:38.760,+4.035s,4
4,22,Yuki TsunodaTSU,RB Honda RBPT,1:40.946,+6.221s,8
5,3,Daniel RicciardoRIC,RB Honda RBPT,1:41.913,+7.188s,9
6,24,Zhou GuanyuZHO,Kick Sauber Ferrari,,,7
7,77,Valtteri BottasBOT,Kick Sauber Ferrari,,,7
8,23,Alexander AlbonALB,Williams Mercedes,,,5
9,20,Kevin MagnussenMAG,Haas Ferrari,,,4
10,27,Nico HulkenbergHUL,Haas Ferrari,,,5
11,55,Carlos SainzSAI,Ferrari,,,3
12,4,Lando NorrisNOR,McLaren Mercedes,,,3
13,31,Esteban OconOCO,Alpine Renault,,,3
