Pos,No,Driver,Car,Time,Gap,Laps
1,10,Pierre GaslyGAS,Alpine Renault,1:20.311,,5
2,20,Kevin MagnussenMAG,Haas Ferrari,1:20.450,+0.139s,9
3,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:21.155,+0.844s,7
4,4,Lando NorrisNOR,McLaren Mercedes,1:21.387,+1.076s,6
5,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:21.461,+1.150s,6
6,31,Esteban OconOCO,Alpine Renault,1:21.643,+1.332s,4
7,81,Oscar PiastriPIA,McLaren Mercedes,1:21.850,+1.539s,10
8,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:21.941,+1.630s,7
9,27,Nico HulkenbergHUL,Haas Ferrari,1:22.354,+2.043s,5
10,55,Carlos SainzSAI,Ferrari,1:22.589,+2.278s,6
11,24,Zhou GuanyuZHO,Kick Sauber Ferrari,1:23.240,+2.929s,5
12,2,Logan SargeantSAR,Williams Mercedes,1:23.287,+2.976s,4
13,63,George RussellRUS,Mercedes,1:23.958,+3.647s,7
14,23,Alexander AlbonALB,Williams Mercedes,1:24.007,+3.696s,5
15,44,Lewis HamiltonHAM,Mercedes,1:24.098,+3.787s,3
16,16,Charles LeclercLEC,Ferrari,1:24.158,+3.847s,4
17,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:24.360,+4.049s,3
18,3,Daniel RicciardoRIC,RB Honda RBPT,1:25.433,+5.122s,7
19,22,Yuki TsunodaTSU,RB Honda RBPT,,,4
20,11,Sergio PerezPER,Red Bull Racing Honda RBPT,,,2
