Pos,No,Driver,Car,Time,Gap,Laps
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:28.412,,13
2,16,Charles LeclercLEC,Ferrari,1:28.608,+0.196s,16
3,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:28.906,+0.494s,13
4,63,George RussellRUS,Mercedes,1:28.964,+0.552s,17
5,4,Lando NorrisNOR,McLaren Mercedes,1:28.971,+0.559s,11
6,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:29.038,+0.626s,14
7,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:29.127,+0.715s,14
8,81,Oscar PiastriPIA,McLaren Mercedes,1:29.213,+0.801s,11
9,44,Lewis HamiltonHAM,Mercedes,1:29.268,+0.856s,19
10,38,Oliver BearmanBEA,Ferrari,1:29.306,+0.894s,22
11,20,Kevin MagnussenMAG,Haas Ferrari,1:29.485,+1.073s,12
12,10,Pierre GaslyGAS,Alpine Renault,1:29.546,+1.134s,13
13,22,Yuki TsunodaTSU,RB Honda RBPT,1:29.572,+1.160s,18
14,31,Esteban OconOCO,Alpine Renault,1:29.575,+1.163s,13
15,27,Nico HulkenbergHUL,Haas Ferrari,1:29.675,+1.263s,11
16,3,Daniel RicciardoRIC,RB Honda RBPT,1:29.740,+1.328s,15
17,23,Alexander AlbonALB,Williams Mercedes,1:29.808,+1.396s,13
18,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:30.083,+1.671s,21
19,24,Zhou GuanyuZHO,Kick Sauber Ferrari,1:30.739,+2.327s,12
20,2,Logan SargeantSAR,Williams Mercedes,,,2
