Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,63,George RussellRUS,Mercedes,1:33.186,1:32.779,1:32.312,25
2,55,Carlos SainzSAI,Ferrari,1:33.484,1:32.711,1:32.410,24
3,10,Pierre GaslyGAS,Alpine Renault,1:33.691,1:32.879,1:32.664,25
4,16,Charles LeclercLEC,Ferrari,1:33.446,1:33.016,1:32.783,23
5,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:33.299,1:33.085,1:32.797,21
6,4,Lando NorrisNOR,McLaren Mercedes,1:33.592,1:33.099,1:33.008,20
7,22,Yuki TsunodaTSU,RB Honda RBPT,1:33.789,1:33.089,1:33.029,25
8,81,Oscar PiastriPIA,McLaren Mercedes,1:33.450,1:33.024,1:33.033,21
9,27,Nico HulkenbergHUL,Haas Ferrari,1:33.920,1:33.114,1:33.062,17
10,44,Lewis HamiltonHAM,Mercedes,1:33.225,1:32.567,1:48.106,24
11,31,Esteban OconOCO,Alpine Renault,1:33.968,1:33.221,,18
12,20,Kevin MagnussenMAG,Haas Ferrari,1:33.991,1:33.297,,12
13,24,Zhou GuanyuZHO,Kick Sauber Ferrari,1:34.079,1:33.566,,17
14,43,Franco ColapintoCOL,Williams Mercedes,1:33.746,1:33.749,,16
15,30,Liam LawsonLAW,RB Honda RBPT,1:34.087,1:34.257,,17
16,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:34.155,,,10
17,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:34.258,,,9
18,23,Alexander AlbonALB,Williams Mercedes,1:34.425,,,10
19,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:34.430,,,10
20,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:34.484,,,3
