Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:21.579,1:20.687,1:20.520,22
2,63,George RussellRUS,Mercedes,1:21.241,1:21.069,1:20.575,28
3,4,Lando NorrisNOR,McLaren Mercedes,1:21.578,1:20.983,1:20.772,22
4,81,Oscar PiastriPIA,McLaren Mercedes,1:21.821,1:21.121,1:20.829,22
5,16,Charles LeclercLEC,Ferrari,1:21.278,1:21.000,1:20.852,26
6,44,Lewis HamiltonHAM,Mercedes,1:21.637,1:21.095,1:21.011,27
7,55,Carlos SainzSAI,Ferrari,1:21.447,1:21.199,1:21.041,26
8,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:21.608,1:21.208,1:21.251,19
9,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:21.675,1:21.425,1:21.425,22
10,20,Kevin MagnussenMAG,Haas Ferrari,1:21.891,1:21.387,1:21.500,26
11,10,Pierre GaslyGAS,Alpine Renault,1:21.843,1:21.437,,18
12,24,Zhou GuanyuZHO,Kick Sauber Ferrari,1:22.103,1:21.501,,19
13,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:21.927,1:21.731,,19
14,22,Yuki TsunodaTSU,RB Honda RBPT,1:22.364,1:21.771,,16
15,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:22.011,1:21.911,,14
16,23,Alexander AlbonALB,Williams Mercedes,1:22.390,,,9
17,30,Liam LawsonLAW,RB Honda RBPT,1:22.411,,,10
18,27,Nico HulkenbergHUL,Haas Ferrari,1:22.442,,,10
19,43,Franco ColapintoCOL,Williams Mercedes,1:22.594,,,9
20,31,Esteban OconOCO,Alpine Renault,1:22.714,,,10
