Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:27.689,1:27.566,1:27.241,18
2,16,Charles LeclercLEC,Ferrari,1:28.081,1:27.533,1:27.382,21
3,55,Carlos SainzSAI,Ferrari,1:27.937,1:27.941,1:27.455,21
4,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:27.772,1:27.839,1:27.460,18
5,4,Lando NorrisNOR,McLaren Mercedes,1:27.913,1:27.871,1:27.594,21
6,81,Oscar PiastriPIA,McLaren Mercedes,1:28.032,1:27.721,1:27.675,19
7,63,George RussellRUS,Mercedes,1:28.159,1:28.095,1:28.067,21
8,44,Lewis HamiltonHAM,Mercedes,1:28.167,1:27.697,1:28.107,21
9,27,Nico HulkenbergHUL,Haas Ferrari,1:28.383,1:28.200,1:28.146,21
10,22,Yuki TsunodaTSU,RB Honda RBPT,1:28.324,1:28.167,1:28.192,21
11,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:28.177,1:28.222,,15
12,10,Pierre GaslyGAS,Alpine Renault,1:27.976,1:28.324,,15
13,31,Esteban OconOCO,Alpine Renault,1:28.209,1:28.371,,15
14,23,Alexander AlbonALB,Williams Mercedes,1:28.343,1:28.413,,15
15,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:28.453,1:28.427,,15
16,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:28.463,,,6
17,2,Logan SargeantSAR,Williams Mercedes,1:28.487,,,8
18,3,Daniel RicciardoRIC,RB Honda RBPT,1:28.617,,,9
19,20,Kevin MagnussenMAG,Haas Ferrari,1:28.619,,,9
20,24,Zhou GuanyuZHO,Kick Sauber Ferrari,1:28.824,,,9
