Pos,No,Driver,Car,Laps,Time/retired,Pts
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,56,1:40:52.554,25
2,4,Lando NorrisNOR,McLaren Mercedes,56,+13.773s,18
3,11,Sergio PerezPER,Red Bull Racing Honda RBPT,56,+19.160s,15
4,16,Charles LeclercLEC,Ferrari,56,+23.623s,12
5,55,Carlos SainzSAI,Ferrari,56,+33.983s,10
6,63,George RussellRUS,Mercedes,56,+38.724s,8
7,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,56,+43.414s,7
8,81,Oscar PiastriPIA,McLaren Mercedes,56,+56.198s,4
9,44,Lewis HamiltonHAM,Mercedes,56,+57.986s,2
10,27,Nico HulkenbergHUL,Haas Ferrari,56,+60.476s,1
11,31,Esteban OconOCO,Alpine Renault,56,+62.812s,0
12,23,Alexander AlbonALB,Williams Mercedes,56,+65.506s,0
13,10,Pierre GaslyGAS,Alpine Renault,56,+69.223s,0
14,24,Zhou GuanyuZHO,Kick Sauber Ferrari,56,+71.689s,0
15,18,Lance StrollSTR,Aston Martin Aramco Mercedes,56,+82.786s,0
16,20,Kevin MagnussenMAG,Haas Ferrari,56,+87.533s,0
17,2,Logan SargeantSAR,Williams Mercedes,56,+95.110s,0
NC,3,Daniel RicciardoRIC,RB Honda RBPT,33,DNF,0
NC,22,Yuki TsunodaTSU,RB Honda RBPT,26,DNF,0
NC,77,Valtteri BottasBOT,Kick Sauber Ferrari,19,DNF,0
