POS.,NO.,DRIVER,TEAM,LAP,TIME OF DAY,TIME,AVG. SPEED
1,63,George RussellRUS,Mercedes,63,15:23:12,1:14.119,211.816
2,4,Lando NorrisNOR,McLaren,65,15:25:46,1:14.229,211.502
3,81,Oscar PiastriPIA,McLaren,64,15:24:32,1:14.255,211.428
4,16,Charles LeclercLEC,Ferrari,57,15:16:03,1:14.261,211.411
5,1,Max VerstappenVER,Red Bull Racing,62,15:22:00,1:14.287,211.337
6,55,Carlos SainzSAI,Williams,60,15:19:38,1:14.389,211.047
7,12,Kimi AntonelliANT,Mercedes,60,15:19:33,1:14.455,210.860
8,31,Esteban OconOCO,Haas,62,15:22:06,1:14.593,210.470
9,44,Lewis HamiltonHAM,Ferrari,64,15:25:10,1:14.805,209.873
10,18,Lance StrollSTR,Aston Martin,58,15:17:27,1:14.902,209.601
11,10,Pierre GaslyGAS,Alpine,64,15:24:53,1:14.993,209.347
12,14,Fernando AlonsoALO,Aston Martin,58,15:18:03,1:15.024,209.261
13,22,Yuki TsunodaTSU,Red Bull Racing,60,15:19:45,1:15.358,208.333
14,27,Nico HulkenbergHUL,Kick Sauber,65,15:26:53,1:15.372,208.294
15,87,Oliver BearmanBEA,Haas,63,15:23:29,1:15.397,208.225
16,5,Gabriel BortoletoBOR,Kick Sauber,57,15:16:00,1:15.414,208.178
17,43,Franco ColapintoCOL,Alpine,53,15:11:55,1:16.076,206.367
18,23,Alexander AlbonALB,Williams,31,14:43:48,1:16.197,206.039
19,6,Isack HadjarHAD,Racing Bulls,51,15:09:25,1:16.292,205.783
20,30,Liam LawsonLAW,Racing Bulls,53,15:11:02,1:16.320,205.707
