POS.,NO.,DRIVER,TEAM,LAP,TIME OF DAY,TIME,AVG. SPEED
1,81,Oscar PiastriPIA,McLaren,51,16:39:39,1:29.337,188.669
2,4,Lando NorrisNOR,McLaren,48,16:35:04,1:29.734,188.890
3,44,Lewis HamiltonHAM,Ferrari,49,16:37:12,1:30.016,187.610
4,23,Alexander AlbonALB,Williams,50,16:39:08,1:30.047,186.836
5,1,Max VerstappenVER,Red Bull Racing,49,16:37:29,1:30.179,187.069
6,14,Fernando AlonsoALO,Aston Martin,49,16:37:36,1:30.353,186.782
7,55,Carlos SainzSAI,Williams,52,16:42:21,1:30.645,186.443
8,10,Pierre GaslyGAS,Alpine,48,16:36:00,1:30.751,186.972
9,31,Esteban OconOCO,Haas,52,16:42:22,1:30.818,186.420
10,16,Charles LeclercLEC,Ferrari,50,16:39:26,1:30.819,186.194
11,63,George RussellRUS,Mercedes,51,16:40:44,1:30.869,186.629
12,22,Yuki TsunodaTSU,Red Bull Racing,50,16:38:34,1:30.873,184.237
13,87,Oliver BearmanBEA,Haas,50,16:39:13,1:30.921,186.585
14,27,Nico HulkenbergHUL,Kick Sauber,51,16:40:08,1:30.933,187.772
15,18,Lance StrollSTR,Aston Martin,50,16:38:59,1:32.088,186.948
16,6,Isack HadjarHAD,Racing Bulls,9,15:22:05,1:41.705,166.427
17,12,Kimi AntonelliANT,Mercedes,8,15:20:21,1:45.576,162.478
18,5,Gabriel BortoletoBOR,Kick Sauber,3,15:10:38,2:16.121,154.338
