POS.,NO.,DRIVER,TEAM,LAP,TIME OF DAY,TIME,AVG. SPEED
1,63,George RussellRUS,Mercedes,45,16:05:15,1:19.409,192.206
2,81,Oscar PiastriPIA,McLaren,56,16:19:46,1:19.412,192.918
3,1,Max VerstappenVER,Red Bull Racing,50,16:12:43,1:19.576,190.523
4,55,Carlos SainzSAI,Williams,54,16:17:18,1:19.790,189.084
5,4,Lando NorrisNOR,McLaren,57,16:21:01,1:19.918,192.942
6,27,Nico HulkenbergHUL,Kick Sauber,68,16:36:16,1:20.013,189.151
7,44,Lewis HamiltonHAM,Ferrari,55,16:19:36,1:20.022,189.858
8,14,Fernando AlonsoALO,Aston Martin,54,16:17:54,1:20.113,190.971
9,16,Charles LeclercLEC,Ferrari,47,16:07:44,1:20.440,191.517
10,30,Liam LawsonLAW,Racing Bulls,56,16:20:43,1:20.457,190.628
11,5,Gabriel BortoletoBOR,Kick Sauber,48,16:09:52,1:20.705,190.736
12,18,Lance StrollSTR,Aston Martin,55,16:19:21,1:20.708,190.670
13,12,Kimi AntonelliANT,Mercedes,54,16:18:10,1:20.745,189.931
14,23,Alexander AlbonALB,Williams,50,16:11:42,1:20.779,188.927
15,6,Isack HadjarHAD,Racing Bulls,48,16:10:06,1:20.802,189.903
16,43,Franco ColapintoCOL,Alpine,38,15:55:24,1:20.827,188.623
17,22,Yuki TsunodaTSU,Red Bull Racing,47,16:07:40,1:21.180,188.637
18,10,Pierre GaslyGAS,Alpine,46,16:07:29,1:21.433,188.330
19,31,Esteban OconOCO,Haas,17,15:27:20,1:21.916,188.693
20,87,Oliver BearmanBEA,Haas,37,15:55:06,1:21.989,187.361
