POS.,NO.,DRIVER,TEAM,LAP,TIME OF DAY,TIME,AVG. SPEED
1,4,Lando NorrisNOR,McLaren,53,16:17:18,1:20.901,249.617
2,1,Max VerstappenVER,Red Bull Racing,52,16:15:37,1:21.003,250.706
3,81,Oscar PiastriPIA,McLaren,47,16:09:09,1:21.245,249.496
4,16,Charles LeclercLEC,Ferrari,53,16:17:24,1:21.294,249.256
5,23,Alexander AlbonALB,Williams,53,16:17:49,1:21.368,247.862
6,44,Lewis HamiltonHAM,Ferrari,50,16:13:31,1:21.546,248.592
7,55,Carlos SainzSAI,Williams,47,16:09:50,1:21.740,247.089
8,63,George RussellRUS,Mercedes,45,16:06:35,1:21.800,248.848
9,87,Oliver BearmanBEA,Haas,53,16:18:08,1:21.820,246.272
10,12,Kimi AntonelliANT,Mercedes,53,16:17:53,1:21.968,247.350
11,6,Isack HadjarHAD,Racing Bulls,46,16:08:26,1:22.133,247.121
12,5,Gabriel BortoletoBOR,Kick Sauber,51,16:15:12,1:22.139,247.420
13,18,Lance StrollSTR,Aston Martin,52,16:15:46,1:22.164,245.452
14,10,Pierre GaslyGAS,Alpine,53,16:17:04,1:22.185,245.645
15,43,Franco ColapintoCOL,Alpine,48,16:11:31,1:22.239,245.555
16,22,Yuki TsunodaTSU,Red Bull Racing,52,16:16:56,1:22.712,246.195
17,30,Liam LawsonLAW,Racing Bulls,49,16:12:48,1:22.777,246.104
18,31,Esteban OconOCO,Haas,48,16:10:56,1:22.892,245.852
19,14,Fernando AlonsoALO,Aston Martin,23,15:36:28,1:23.757,239.924
