Pos.,No.,Driver,Team,Lap,Time of Day,Time,Avg. Speed
1,44,Lewis HamiltonHAM,Ferrari,48,21:22:07,1:33.808,179.974
2,10,Pierre GaslyGAS,Alpine,54,21:31:47,1:34.573,178.172
3,55,Carlos SainzSAI,Williams,62,21:44:05,1:34.963,179.256
4,12,Kimi AntonelliANT,Mercedes,27,20:48:03,1:35.303,181.506
5,27,Nico HulkenbergHUL,Kick Sauber,48,21:22:11,1:35.404,178.126
6,81,Oscar PiastriPIA,McLaren,31,20:54:21,1:35.408,182.275
7,4,Lando NorrisNOR,McLaren,36,21:02:11,1:35.555,182.338
8,30,Liam LawsonLAW,Racing Bulls,62,21:44:21,1:35.641,178.770
9,23,Alexander AlbonALB,Williams,61,21:42:43,1:35.648,178.824
10,1,Max VerstappenVER,Red Bull Racing,30,20:52:32,1:35.649,182.357
11,63,George RussellRUS,Mercedes,27,20:47:41,1:35.676,182.521
12,18,Lance StrollSTR,Aston Martin,61,21:42:42,1:35.851,178.849
13,14,Fernando AlonsoALO,Aston Martin,52,21:29:13,1:35.862,180.109
14,16,Charles LeclercLEC,Ferrari,41,21:10:32,1:35.983,181.138
15,87,Oliver BearmanBEA,Haas F1 Team,56,21:35:49,1:36.201,179.730
16,31,Esteban OconOCO,Haas F1 Team,32,20:56:52,1:36.646,178.182
17,22,Yuki TsunodaTSU,Red Bull Racing,45,21:18:04,1:36.831,179.003
18,6,Isack HadjarHAD,Racing Bulls,55,21:32:44,1:36.938,179.061
19,5,Gabriel BortoletoBOR,Kick Sauber,16,20:30:42,1:37.126,178.193
20,43,Franco ColapintoCOL,Alpine,17,20:32:08,1:37.182,178.306
