POS.,NO.,DRIVER,TEAM,LAP,TIME OF DAY,TIME,AVG. SPEED
1,12,Kimi AntonelliANT,Mercedes,50,15:21:38,1:30.965,229.815
2,81,Oscar PiastriPIA,McLaren,53,15:25:56,1:31.039,229.629
3,1,Max VerstappenVER,Red Bull Racing,52,15:24:22,1:31.041,229.624
4,55,Carlos SainzSAI,Williams,36,15:01:00,1:31.106,229.460
5,4,Lando NorrisNOR,McLaren,51,15:22:52,1:31.116,229.435
6,23,Alexander AlbonALB,Williams,52,15:25:03,1:31.125,229.412
7,6,Isack HadjarHAD,Racing Bulls,52,15:24:59,1:31.317,228.929
8,63,George RussellRUS,Mercedes,51,15:23:08,1:31.357,228.829
9,44,Lewis HamiltonHAM,Ferrari,51,15:23:19,1:31.406,228.707
10,16,Charles LeclercLEC,Ferrari,47,15:16:59,1:31.469,228.549
11,14,Fernando AlonsoALO,Aston Martin,51,15:23:46,1:31.770,227.799
12,10,Pierre GaslyGAS,Alpine,52,15:25:22,1:31.820,227.675
13,22,Yuki TsunodaTSU,Red Bull Racing,51,15:23:48,1:31.871,227.549
14,31,Esteban OconOCO,Haas,48,15:19:33,1:31.967,227.311
15,87,Oliver BearmanBEA,Haas,49,15:20:39,1:32.006,227.215
16,5,Gabriel BortoletoBOR,Kick Sauber,45,15:14:57,1:32.034,227.146
17,30,Liam LawsonLAW,Racing Bulls,39,15:05:39,1:32.043,227.124
18,18,Lance StrollSTR,Aston Martin,53,15:26:06,1:32.052,227.102
19,27,Nico HulkenbergHUL,Kick Sauber,31,14:53:08,1:32.572,225.826
20,7,Jack DoohanDOO,Alpine,47,15:17:56,1:32.685,225.551
