POS.,NO.,DRIVER,TEAM,LAP,TIME OF DAY,TIME,AVG. SPEED
1,4,Lando NorrisNOR,McLaren,36,17:01:03,1:29.746,217.092
2,81,Oscar PiastriPIA,McLaren,35,16:59:26,1:29.822,216.908
3,63,George RussellRUS,Mercedes,31,16:53:21,1:30.318,215.717
4,16,Charles LeclercLEC,Ferrari,35,17:00:08,1:30.461,215.376
5,1,Max VerstappenVER,Red Bull Racing,41,17:09:00,1:30.466,215.364
6,23,Alexander AlbonALB,Williams,55,17:30:20,1:30.482,215.326
7,44,Lewis HamiltonHAM,Ferrari,35,17:00:09,1:30.562,215.136
8,55,Carlos SainzSAI,Williams,35,17:00:10,1:30.703,214.802
9,12,Kimi AntonelliANT,Mercedes,27,16:46:42,1:30.795,214.584
10,22,Yuki TsunodaTSU,Red Bull Racing,55,17:30:40,1:30.964,214.185
11,6,Isack HadjarHAD,Racing Bulls,51,17:24:40,1:30.971,214.169
12,27,Nico HulkenbergHUL,Kick Sauber,43,17:12:46,1:31.015,214.065
13,31,Esteban OconOCO,Haas,30,16:52:12,1:31.122,213.814
14,10,Pierre GaslyGAS,Alpine,35,17:00:26,1:31.159,213.727
15,14,Fernando AlonsoALO,Aston Martin,38,17:05:11,1:31.287,213.427
16,18,Lance StrollSTR,Aston Martin,51,17:23:45,1:31.769,212.306
17,30,Liam LawsonLAW,Racing Bulls,30,16:52:49,1:31.770,212.304
18,5,Gabriel BortoletoBOR,Kick Sauber,21,16:37:45,1:32.328,211.021
19,87,Oliver BearmanBEA,Haas,24,16:42:12,1:32.680,210.220
