STOPS,NO.,DRIVER,TEAM,LAP,TIME OF DAY,TIME,TOTAL
1,31,Esteban OconOCO,Haas,1,15:06:25,20.691,20.691
1,23,Alexander AlbonALB,Williams,1,15:06:28,20.758,20.758
2,31,Esteban OconOCO,Haas,2,15:09:12,20.759,41.450
2,23,Alexander AlbonALB,Williams,15,15:34:40,20.489,41.247
1,43,Franco ColapintoCOL,Alpine,16,15:36:25,21.088,21.088
1,12,Kimi AntonelliANT,Mercedes,18,15:39:36,20.669,20.669
1,16,Charles LeclercLEC,Ferrari,19,15:41:27,20.542,20.542
1,30,Liam LawsonLAW,Racing Bulls,20,15:43:09,20.283,20.283
1,14,Fernando AlonsoALO,Aston Martin,21,15:45:13,25.768,25.768
1,5,Gabriel BortoletoBOR,Kick Sauber,26,15:54:05,20.845,20.845
1,55,Carlos SainzSAI,Williams,27,15:55:25,20.508,20.508
1,87,Oliver BearmanBEA,Haas,28,15:57:54,21.194,21.194
1,6,Isack HadjarHAD,Racing Bulls,29,15:59:19,20.294,20.294
1,10,Pierre GaslyGAS,Alpine,35,16:10:30,21.500,21.500
1,44,Lewis HamiltonHAM,Ferrari,36,16:11:29,20.062,20.062
1,27,Nico HulkenbergHUL,Kick Sauber,36,16:12:10,19.970,19.970
1,4,Lando NorrisNOR,McLaren,37,16:13:07,21.975,21.975
1,18,Lance StrollSTR,Aston Martin,37,16:13:54,21.820,21.820
1,22,Yuki TsunodaTSU,Red Bull Racing,38,16:14:50,20.323,20.323
1,63,George RussellRUS,Mercedes,39,16:16:26,19.809,19.809
1,1,Max VerstappenVER,Red Bull Racing,40,16:17:58,20.221,20.221
