STOPS,NO.,DRIVER,TEAM,LAP,TIME OF DAY,TIME,TOTAL
1,27,Nico HulkenbergHUL,Kick Sauber,5,18:12:19,24.229,24.229
1,6,Isack HadjarHAD,Racing Bulls,6,18:13:56,25.265,25.265
1,31,Esteban OconOCO,Haas,8,18:17:10,24.876,24.876
1,7,Jack DoohanDOO,Alpine,9,18:18:50,24.791,24.791
1,4,Lando NorrisNOR,McLaren,10,18:20:17,29.822,29.822
1,10,Pierre GaslyGAS,Alpine,10,18:20:24,25.033,25.033
1,1,Max VerstappenVER,Red Bull Racing,10,18:20:25,26.518,26.518
1,22,Yuki TsunodaTSU,Red Bull Racing,11,18:22:08,26.493,26.493
1,12,Kimi AntonelliANT,Mercedes,12,18:23:41,24.807,24.807
1,18,Lance StrollSTR,Aston Martin,12,18:23:59,24.611,24.611
1,63,George RussellRUS,Mercedes,13,18:25:13,24.044,24.044
1,5,Gabriel BortoletoBOR,Kick Sauber,13,18:25:42,24.143,24.143
1,81,Oscar PiastriPIA,McLaren,14,18:26:48,24.498,24.498
1,55,Carlos SainzSAI,Williams,14,18:27:10,24.600,24.600
1,87,Oliver BearmanBEA,Haas,14,18:27:13,24.562,24.562
1,30,Liam LawsonLAW,Racing Bulls,14,18:27:19,25.242,25.242
1,23,Alexander AlbonALB,Williams,16,18:30:32,25.394,25.394
1,14,Fernando AlonsoALO,Aston Martin,16,18:30:38,24.826,24.826
1,16,Charles LeclercLEC,Ferrari,17,18:31:51,24.802,24.802
1,44,Lewis HamiltonHAM,Ferrari,17,18:32:01,24.340,24.340
2,1,Max VerstappenVER,Red Bull Racing,26,18:47:10,28.067,54.585
2,31,Esteban OconOCO,Haas,27,18:48:45,24.832,49.708
2,12,Kimi AntonelliANT,Mercedes,27,18:48:46,24.506,49.313
2,27,Nico HulkenbergHUL,Kick Sauber,27,18:49:07,24.291,48.520
2,10,Pierre GaslyGAS,Alpine,28,18:50:18,24.958,49.991
2,7,Jack DoohanDOO,Alpine,28,18:50:30,25.093,49.884
2,6,Isack HadjarHAD,Racing Bulls,28,18:50:42,24.640,49.905
2,81,Oscar PiastriPIA,McLaren,32,18:56:38,24.900,49.398
2,63,George RussellRUS,Mercedes,32,18:56:48,24.100,48.144
2,16,Charles LeclercLEC,Ferrari,32,18:56:49,24.241,49.043
2,4,Lando NorrisNOR,McLaren,32,18:56:52,24.035,53.857
2,44,Lewis HamiltonHAM,Ferrari,32,18:57:05,24.350,48.690
2,55,Carlos SainzSAI,Williams,32,18:57:31,24.315,48.915
2,22,Yuki TsunodaTSU,Red Bull Racing,32,18:57:32,24.771,51.264
2,23,Alexander AlbonALB,Williams,32,18:57:37,25.990,51.384
2,87,Oliver BearmanBEA,Haas,32,18:57:37,24.895,49.457
3,12,Kimi AntonelliANT,Mercedes,32,18:57:41,24.693,1:14.006
2,14,Fernando AlonsoALO,Aston Martin,32,18:57:44,24.846,49.672
2,30,Liam LawsonLAW,Racing Bulls,32,18:57:56,24.191,49.433
2,18,Lance StrollSTR,Aston Martin,32,18:57:57,24.592,49.203
2,5,Gabriel BortoletoBOR,Kick Sauber,32,18:58:04,25.396,49.539
3,55,Carlos SainzSAI,Williams,44,19:19:11,37.116,1:26.031
