POS.,NO.,DRIVER,TEAM,TIME / GAP,LAPS
1,63,George RussellRUS,Mercedes,1:05.542,34
2,1,Max VerstappenVER,Red Bull Racing,+0.065s,30
3,81,Oscar PiastriPIA,McLaren,+0.155s,33
4,89,Alexander DunneDUN,McLaren,+0.224s,29
5,10,Pierre GaslyGAS,Alpine,+0.238s,34
6,5,Gabriel BortoletoBOR,Kick Sauber,+0.332s,35
7,23,Alexander AlbonALB,Williams,+0.404s,35
8,55,Carlos SainzSAI,Williams,+0.475s,33
9,44,Lewis HamiltonHAM,Ferrari,+0.557s,20
10,6,Isack HadjarHAD,Racing Bulls,+0.568s,33
11,12,Kimi AntonelliANT,Mercedes,+0.588s,35
12,27,Nico HulkenbergHUL,Kick Sauber,+0.598s,32
13,18,Lance StrollSTR,Aston Martin,+0.618s,32
14,14,Fernando AlonsoALO,Aston Martin,+0.628s,32
15,30,Liam LawsonLAW,Racing Bulls,+0.647s,34
16,43,Franco ColapintoCOL,Alpine,+0.704s,34
17,22,Yuki TsunodaTSU,Red Bull Racing,+0.720s,30
18,38,Dino BeganovicBEG,Ferrari,+0.827s,32
19,31,Esteban OconOCO,Haas,+0.968s,32
20,87,Oliver BearmanBEA,Haas,+1.196s,30
