POS.,NO.,DRIVER,TEAM,TIME / GAP,LAPS
1,10,Pierre GaslyGAS,Alpine,1:29.239,25
2,4,Lando NorrisNOR,McLaren,+0.007s,25
3,16,Charles LeclercLEC,Ferrari,+0.070s,28
4,81,Oscar PiastriPIA,McLaren,+0.102s,25
5,23,Alexander AlbonALB,Williams,+0.367s,23
6,63,George RussellRUS,Mercedes,+0.379s,21
7,55,Carlos SainzSAI,Williams,+0.540s,26
8,44,Lewis HamiltonHAM,Ferrari,+0.576s,27
9,1,Max VerstappenVER,Red Bull Racing,+0.579s,26
10,22,Yuki TsunodaTSU,Red Bull Racing,+0.582s,26
11,30,Liam LawsonLAW,Racing Bulls,+0.668s,19
12,27,Nico HulkenbergHUL,Kick Sauber,+0.677s,25
13,12,Kimi AntonelliANT,Mercedes,+0.695s,24
14,14,Fernando AlonsoALO,Aston Martin,+0.737s,24
15,6,Isack HadjarHAD,Racing Bulls,+0.772s,15
16,7,Jack DoohanDOO,Alpine,+0.944s,25
17,18,Lance StrollSTR,Aston Martin,+1.344s,23
18,87,Oliver BearmanBEA,Haas,+1.356s,21
19,31,Esteban OconOCO,Haas,+1.790s,21
20,5,Gabriel BortoletoBOR,Kick Sauber,+1.799s,23
