POS.,NO.,DRIVER,TEAM,TIME / GAP,LAPS
1,81,Oscar PiastriPIA,McLaren,1:16.545,23
2,4,Lando NorrisNOR,McLaren,+0.032s,23
3,55,Carlos SainzSAI,Williams,+0.052s,19
4,63,George RussellRUS,Mercedes,+0.054s,26
5,44,Lewis HamiltonHAM,Ferrari,+0.096s,22
6,10,Pierre GaslyGAS,Alpine,+0.151s,21
7,1,Max VerstappenVER,Red Bull Racing,+0.360s,15
8,23,Alexander AlbonALB,Williams,+0.377s,21
9,5,Gabriel BortoletoBOR,Kick Sauber,+0.380s,23
10,27,Nico HulkenbergHUL,Kick Sauber,+0.453s,23
11,18,Lance StrollSTR,Aston Martin,+0.487s,23
12,16,Charles LeclercLEC,Ferrari,+0.532s,23
13,12,Kimi AntonelliANT,Mercedes,+0.549s,23
14,14,Fernando AlonsoALO,Aston Martin,+0.576s,22
15,30,Liam LawsonLAW,Racing Bulls,+0.741s,22
16,22,Yuki TsunodaTSU,Red Bull Racing,+0.811s,18
17,43,Franco ColapintoCOL,Alpine,+0.828s,21
18,87,Oliver BearmanBEA,Haas,+0.901s,20
19,6,Isack HadjarHAD,Racing Bulls,+1.096s,19
20,31,Esteban OconOCO,Haas,+1.117s,20
