POS.,NO.,DRIVER,TEAM,TIME / GAP,LAPS
1,63,George RussellRUS,Mercedes,1:12.123,33
2,4,Lando NorrisNOR,McLaren,+0.028s,32
3,12,Kimi AntonelliANT,Mercedes,+0.288s,33
4,23,Alexander AlbonALB,Williams,+0.322s,36
5,14,Fernando AlonsoALO,Aston Martin,+0.335s,31
6,81,Oscar PiastriPIA,McLaren,+0.439s,32
7,55,Carlos SainzSAI,Williams,+0.508s,37
8,44,Lewis HamiltonHAM,Ferrari,+0.530s,34
9,1,Max VerstappenVER,Red Bull Racing,+0.543s,31
10,30,Liam LawsonLAW,Racing Bulls,+0.628s,30
11,6,Isack HadjarHAD,Racing Bulls,+0.676s,31
12,10,Pierre GaslyGAS,Alpine,+0.751s,34
13,5,Gabriel BortoletoBOR,Kick Sauber,+0.773s,32
14,27,Nico HulkenbergHUL,Kick Sauber,+0.791s,33
15,22,Yuki TsunodaTSU,Red Bull Racing,+0.816s,35
16,87,Oliver BearmanBEA,Haas,+0.957s,36
17,31,Esteban OconOCO,Haas,+1.052s,33
18,43,Franco ColapintoCOL,Alpine,+1.775s,33
19,18,Lance StrollSTR,Aston Martin,,2
