POS.,NO.,DRIVER,TEAM,TIME / GAP,LAPS
1,4,Lando NorrisNOR,McLaren,1:25.816,26
2,16,Charles LeclercLEC,Ferrari,+0.222s,29
3,44,Lewis HamiltonHAM,Ferrari,+0.301s,29
4,81,Oscar PiastriPIA,McLaren,+0.470s,27
5,1,Max VerstappenVER,Red Bull Racing,+0.498s,23
6,12,Kimi AntonelliANT,Mercedes,+0.567s,28
7,18,Lance StrollSTR,Aston Martin,+0.614s,24
8,63,George RussellRUS,Mercedes,+0.707s,27
9,6,Isack HadjarHAD,Racing Bulls,+0.708s,27
10,30,Liam LawsonLAW,Racing Bulls,+0.808s,28
11,23,Alexander AlbonALB,Williams,+1.024s,30
12,14,Fernando AlonsoALO,Aston Martin,+1.060s,24
13,5,Gabriel BortoletoBOR,Kick Sauber,+1.088s,27
14,31,Esteban OconOCO,Haas,+1.125s,26
15,22,Yuki TsunodaTSU,Red Bull Racing,+1.164s,25
16,55,Carlos SainzSAI,Williams,+1.343s,27
17,27,Nico HulkenbergHUL,Kick Sauber,+1.349s,29
18,10,Pierre GaslyGAS,Alpine,+1.358s,24
19,87,Oliver BearmanBEA,Haas,+1.410s,27
20,43,Franco ColapintoCOL,Alpine,+1.473s,29
