POS.,NO.,DRIVER,TEAM,TIME / GAP,LAPS
1,81,Oscar PiastriPIA,McLaren,1:30.505,29
2,4,Lando NorrisNOR,McLaren,+0.154s,28
3,63,George RussellRUS,Mercedes,+0.527s,25
4,16,Charles LeclercLEC,Ferrari,+0.540s,27
5,12,Kimi AntonelliANT,Mercedes,+0.722s,27
6,6,Isack HadjarHAD,Racing Bulls,+0.733s,24
7,1,Max VerstappenVER,Red Bull Racing,+0.825s,27
8,44,Lewis HamiltonHAM,Ferrari,+1.071s,23
9,87,Oliver BearmanBEA,Haas,+1.079s,27
10,55,Carlos SainzSAI,Williams,+1.118s,28
11,23,Alexander AlbonALB,Williams,+1.191s,29
12,30,Liam LawsonLAW,Racing Bulls,+1.201s,27
13,5,Gabriel BortoletoBOR,Kick Sauber,+1.267s,25
14,7,Jack DoohanDOO,Alpine,+1.283s,27
15,14,Fernando AlonsoALO,Aston Martin,+1.320s,19
16,31,Esteban OconOCO,Haas,+1.365s,27
17,10,Pierre GaslyGAS,Alpine,+1.442s,27
18,22,Yuki TsunodaTSU,Red Bull Racing,+1.519s,25
19,18,Lance StrollSTR,Aston Martin,+1.877s,27
20,27,Nico HulkenbergHUL,Kick Sauber,+1.991s,24
