POS.,NO.,DRIVER,TEAM,TIME / GAP,LAPS
1,16,Charles LeclercLEC,Ferrari,1:11.355,32
2,81,Oscar PiastriPIA,McLaren,+0.038s,28
3,44,Lewis HamiltonHAM,Ferrari,+0.105s,30
4,4,Lando NorrisNOR,McLaren,+0.322s,32
5,30,Liam LawsonLAW,Racing Bulls,+0.468s,32
6,6,Isack HadjarHAD,Racing Bulls,+0.487s,17
7,14,Fernando AlonsoALO,Aston Martin,+0.535s,30
8,23,Alexander AlbonALB,Williams,+0.563s,34
9,12,Kimi AntonelliANT,Mercedes,+0.647s,32
10,1,Max VerstappenVER,Red Bull Racing,+0.713s,29
11,22,Yuki TsunodaTSU,Red Bull Racing,+0.717s,30
12,63,George RussellRUS,Mercedes,+0.737s,32
13,55,Carlos SainzSAI,Williams,+0.796s,32
14,5,Gabriel BortoletoBOR,Kick Sauber,+0.879s,29
15,87,Oliver BearmanBEA,Haas,+0.904s,33
16,27,Nico HulkenbergHUL,Kick Sauber,+0.907s,32
17,10,Pierre GaslyGAS,Alpine,+1.049s,34
18,18,Lance StrollSTR,Aston Martin,+1.157s,30
19,31,Esteban OconOCO,Haas,+1.186s,33
20,43,Franco ColapintoCOL,Alpine,+2.060s,31
