POS.,NO.,DRIVER,TEAM,Q1,Q2,Q3,LAPS
1,1,Max VerstappenVER,Red Bull Racing,1:27.943,1:27.502,1:26.983,17
2,4,Lando NorrisNOR,McLaren,1:27.845,1:27.146,1:26.995,15
3,81,Oscar PiastriPIA,McLaren,1:27.687,1:27.507,1:27.027,18
4,16,Charles LeclercLEC,Ferrari,1:27.920,1:27.555,1:27.299,21
5,63,George RussellRUS,Mercedes,1:27.843,1:27.400,1:27.318,17
6,12,Kimi AntonelliANT,Mercedes,1:27.968,1:27.639,1:27.555,18
7,6,Isack HadjarHAD,Racing Bulls,1:28.278,1:27.775,1:27.569,18
8,44,Lewis HamiltonHAM,Ferrari,1:27.942,1:27.610,1:27.610,23
9,23,Alexander AlbonALB,Williams,1:28.218,1:27.783,1:27.615,20
10,87,Oliver BearmanBEA,Haas,1:28.228,1:27.711,1:27.867,21
11,10,Pierre GaslyGAS,Alpine,1:28.186,1:27.822,,12
12,55,Carlos SainzSAI,Williams,1:28.209,1:27.836,,15
13,14,Fernando AlonsoALO,Aston Martin,1:28.337,1:27.897,,12
14,30,Liam LawsonLAW,Racing Bulls,1:28.554,1:27.906,,12
15,22,Yuki TsunodaTSU,Red Bull Racing,1:27.967,1:28.000,,12
16,27,Nico HulkenbergHUL,Kick Sauber,1:28.570,,,9
17,5,Gabriel BortoletoBOR,Kick Sauber,1:28.622,,,9
18,31,Esteban OconOCO,Haas,1:28.696,,,9
19,7,Jack DoohanDOO,Alpine,1:28.877,,,9
20,18,Lance StrollSTR,Aston Martin,1:29.271,,,5
