POS.,NO.,DRIVER,TEAM,Q1,Q2,Q3,LAPS
1,81,Oscar PiastriPIA,McLaren,1:15.500,1:15.214,1:14.670,18
2,1,Max VerstappenVER,Red Bull Racing,1:15.175,1:15.394,1:14.704,17
3,63,George RussellRUS,Mercedes,1:15.852,1:15.334,1:14.807,17
4,4,Lando NorrisNOR,McLaren,1:15.894,1:15.261,1:14.962,19
5,14,Fernando AlonsoALO,Aston Martin,1:15.695,1:15.442,1:15.431,19
6,55,Carlos SainzSAI,Williams,1:15.987,1:15.198,1:15.432,21
7,23,Alexander AlbonALB,Williams,1:16.123,1:15.521,1:15.473,20
8,18,Lance StrollSTR,Aston Martin,1:15.817,1:15.497,1:15.581,21
9,6,Isack HadjarHAD,Racing Bulls,1:16.253,1:15.510,1:15.746,17
10,10,Pierre GaslyGAS,Alpine,1:15.937,1:15.505,1:15.787,17
11,16,Charles LeclercLEC,Ferrari,1:16.108,1:15.604,,14
12,44,Lewis HamiltonHAM,Ferrari,1:16.163,1:15.765,,14
13,12,Kimi AntonelliANT,Mercedes,1:15.943,1:15.772,,13
14,5,Gabriel BortoletoBOR,Kick Sauber,1:16.340,1:16.260,,15
15,43,Franco ColapintoCOL,Alpine,1:16.256,,,5
16,30,Liam LawsonLAW,Racing Bulls,1:16.379,,,6
17,27,Nico HulkenbergHUL,Kick Sauber,1:16.518,,,9
18,31,Esteban OconOCO,Haas,1:16.613,,,9
19,87,Oliver BearmanBEA,Haas,1:16.918,,,8
NC,22,Yuki TsunodaTSU,Red Bull Racing,DNF,,,2
