POS.,NO.,DRIVER,TEAM,Q1,Q2,Q3,LAPS
1,4,Lando NorrisNOR,McLaren,1:11.285,1:10.570,1:09.954,27
2,16,Charles LeclercLEC,Ferrari,1:11.229,1:10.581,1:10.063,27
3,81,Oscar PiastriPIA,McLaren,1:11.308,1:10.858,1:10.129,29
4,44,Lewis HamiltonHAM,Ferrari,1:11.575,1:10.883,1:10.382,28
5,1,Max VerstappenVER,Red Bull Racing,1:11.431,1:10.875,1:10.669,21
6,6,Isack HadjarHAD,Racing Bulls,1:11.811,1:11.040,1:10.923,27
7,14,Fernando AlonsoALO,Aston Martin,1:11.674,1:11.182,1:10.924,30
8,31,Esteban OconOCO,Haas,1:11.839,1:11.262,1:10.942,32
9,30,Liam LawsonLAW,Racing Bulls,1:11.818,1:11.250,1:11.129,26
10,23,Alexander AlbonALB,Williams,1:11.629,1:10.732,1:11.213,34
11,55,Carlos SainzSAI,Williams,1:11.707,1:11.362,,25
12,22,Yuki TsunodaTSU,Red Bull Racing,1:11.800,1:11.415,,20
13,27,Nico HulkenbergHUL,Kick Sauber,1:11.871,1:11.596,,23
14,63,George RussellRUS,Mercedes,1:11.507,DNF,,13
15,12,Kimi AntonelliANT,Mercedes,1:11.880,,,11
16,5,Gabriel BortoletoBOR,Kick Sauber,1:11.902,,,13
17,87,Oliver BearmanBEA,Haas,1:11.979,,,13
18,10,Pierre GaslyGAS,Alpine,1:11.994,,,11
19,18,Lance StrollSTR,Aston Martin,1:12.563,,,11
20,43,Franco ColapintoCOL,Alpine,1:12.597,,,12
