POS.,NO.,DRIVER,TEAM,LAPS,TIME / RETIRED,PTS.
1,4,Lando NorrisNOR,McLaren,70,1:35:21.231,25
2,81,Oscar PiastriPIA,McLaren,70,+0.698s,18
3,63,George RussellRUS,Mercedes,70,+21.916s,15
4,16,Charles LeclercLEC,Ferrari,70,+42.560s,12
5,14,Fernando AlonsoALO,Aston Martin,70,+59.040s,10
6,5,Gabriel BortoletoBOR,Kick Sauber,70,+66.169s,8
7,18,Lance StrollSTR,Aston Martin,70,+68.174s,6
8,30,Liam LawsonLAW,Racing Bulls,70,+69.451s,4
9,1,Max VerstappenVER,Red Bull Racing,70,+72.645s,2
10,12,Kimi AntonelliANT,Mercedes,69,+1 lap,1
11,6,Isack HadjarHAD,Racing Bulls,69,+1 lap,0
12,44,Lewis HamiltonHAM,Ferrari,69,+1 lap,0
13,27,Nico HulkenbergHUL,Kick Sauber,69,+1 lap,0
14,55,Carlos SainzSAI,Williams,69,+1 lap,0
15,23,Alexander AlbonALB,Williams,69,+1 lap,0
16,31,Esteban OconOCO,Haas,69,+1 lap,0
17,22,Yuki TsunodaTSU,Red Bull Racing,69,+1 lap,0
18,43,Franco ColapintoCOL,Alpine,69,+1 lap,0
19,10,Pierre GaslyGAS,Alpine,69,+1 lap,0
NC,87,Oliver BearmanBEA,Haas,48,DNF,0
