POS.,NO.,DRIVER,TEAM,LAPS,TIME / RETIRED,PTS.
1,1,Max VerstappenVER,Red Bull Racing,53,1:13:24.325,25
2,4,Lando NorrisNOR,McLaren,53,+19.207s,18
3,81,Oscar PiastriPIA,McLaren,53,+21.351s,15
4,16,Charles LeclercLEC,Ferrari,53,+25.624s,12
5,63,George RussellRUS,Mercedes,53,+32.881s,10
6,44,Lewis HamiltonHAM,Ferrari,53,+37.449s,8
7,23,Alexander AlbonALB,Williams,53,+50.537s,6
8,5,Gabriel BortoletoBOR,Kick Sauber,53,+58.484s,4
9,12,Kimi AntonelliANT,Mercedes,53,+59.762s,2
10,6,Isack HadjarHAD,Racing Bulls,53,+63.891s,1
11,55,Carlos SainzSAI,Williams,53,+64.469s,0
12,87,Oliver BearmanBEA,Haas,53,+79.288s,0
13,22,Yuki TsunodaTSU,Red Bull Racing,53,+80.701s,0
14,30,Liam LawsonLAW,Racing Bulls,53,+82.351s,0
15,31,Esteban OconOCO,Haas,52,+1 lap,0
16,10,Pierre GaslyGAS,Alpine,52,+1 lap,0
17,43,Franco ColapintoCOL,Alpine,52,+1 lap,0
18,18,Lance StrollSTR,Aston Martin,52,+1 lap,0
NC,14,Fernando AlonsoALO,Aston Martin,24,DNF,0
NC,27,Nico HulkenbergHUL,Kick Sauber,0,DNS,0
