POS.,NO.,DRIVER,TEAM,LAPS,TIME / RETIRED,PTS.
1,1,Max VerstappenVER,Red Bull Racing,51,1:33:26.408,25
2,63,George RussellRUS,Mercedes,51,+14.609s,18
3,55,Carlos SainzSAI,Williams,51,+19.199s,15
4,12,Kimi AntonelliANT,Mercedes,51,+21.760s,12
5,30,Liam LawsonLAW,Racing Bulls,51,+33.290s,10
6,22,Yuki TsunodaTSU,Red Bull Racing,51,+33.808s,8
7,4,Lando NorrisNOR,McLaren,51,+34.227s,6
8,44,Lewis HamiltonHAM,Ferrari,51,+36.310s,4
9,16,Charles LeclercLEC,Ferrari,51,+36.774s,2
10,6,Isack HadjarHAD,Racing Bulls,51,+38.982s,1
11,5,Gabriel BortoletoBOR,Kick Sauber,51,+67.606s,0
12,87,Oliver BearmanBEA,Haas,51,+68.262s,0
13,23,Alexander AlbonALB,Williams,51,+72.870s,0
14,31,Esteban OconOCO,Haas,51,+77.580s,0
15,14,Fernando AlonsoALO,Aston Martin,51,+78.707s,0
16,27,Nico HulkenbergHUL,Kick Sauber,51,+80.237s,0
17,18,Lance StrollSTR,Aston Martin,51,+96.392s,0
18,10,Pierre GaslyGAS,Alpine,50,+1 lap,0
19,43,Franco ColapintoCOL,Alpine,50,+1 lap,0
NC,81,Oscar PiastriPIA,McLaren,0,DNF,0
