POS.,NO.,DRIVER,TEAM,LAPS,TIME / RETIRED,PTS.
1,1,Max VerstappenVER,Red Bull Racing,63,1:31:33.199,25
2,4,Lando NorrisNOR,McLaren,63,+6.109s,18
3,81,Oscar PiastriPIA,McLaren,63,+12.956s,15
4,44,Lewis HamiltonHAM,Ferrari,63,+14.356s,12
5,23,Alexander AlbonALB,Williams,63,+17.945s,10
6,16,Charles LeclercLEC,Ferrari,63,+20.774s,8
7,63,George RussellRUS,Mercedes,63,+22.034s,6
8,55,Carlos SainzSAI,Williams,63,+22.898s,4
9,6,Isack HadjarHAD,Racing Bulls,63,+23.586s,2
10,22,Yuki TsunodaTSU,Red Bull Racing,63,+26.446s,1
11,14,Fernando AlonsoALO,Aston Martin,63,+27.250s,0
12,27,Nico HulkenbergHUL,Kick Sauber,63,+30.296s,0
13,10,Pierre GaslyGAS,Alpine,63,+31.424s,0
14,30,Liam LawsonLAW,Racing Bulls,63,+32.511s,0
15,18,Lance StrollSTR,Aston Martin,63,+32.993s,0
16,43,Franco ColapintoCOL,Alpine,63,+33.411s,0
17,87,Oliver BearmanBEA,Haas,63,+33.808s,0
18,5,Gabriel BortoletoBOR,Kick Sauber,63,+38.572s,0
NC,12,Kimi AntonelliANT,Mercedes,44,DNF,0
NC,31,Esteban OconOCO,Haas,27,DNF,0
