POS.,NO.,DRIVER,TEAM,TIME
1,4,Lando NorrisNOR,McLaren,1:40.562
2,81,Oscar PiastriPIA,McLaren,1:40.647
3,16,Charles LeclercLEC,Ferrari,1:40.900
4,1,Max VerstappenVER,Red Bull Racing,1:40.903
5,23,Alexander AlbonALB,Williams,1:41.201
6,63,George RussellRUS,Mercedes,1:41.260
7,22,Yuki TsunodaTSU,Red Bull Racing,1:41.284
8,6,Isack HadjarHAD,Racing Bulls,1:41.310
9,30,Liam LawsonLAW,Racing Bulls,1:41.328
10,5,Gabriel BortoletoBOR,Kick Sauber,1:42.387
11,31,Esteban OconOCO,Haas,1:41.525
12,87,Oliver BearmanBEA,Haas,1:41.617
13,10,Pierre GaslyGAS,Alpine,1:41.633
14,27,Nico HulkenbergHUL,Kick Sauber,1:41.707
15,43,Franco ColapintoCOL,Alpine,1:42.022
16,18,Lance StrollSTR,Aston Martin,1:42.502
17,55,Carlos SainzSAI,Williams,1:41.758
18,44,Lewis HamiltonHAM,Ferrari,1:41.939
19,12,Kimi AntonelliANT,Mercedes,1:42.139
20,14,Fernando AlonsoALO,Aston Martin,1:42.385
