POS.,NO.,DRIVER,TEAM,TIME
1,16,Charles LeclercLEC,Ferrari,1:15.372
2,81,Oscar PiastriPIA,McLaren,1:15.398
3,4,Lando NorrisNOR,McLaren,1:15.413
4,63,George RussellRUS,Mercedes,1:15.425
5,14,Fernando AlonsoALO,Aston Martin,1:15.481
6,18,Lance StrollSTR,Aston Martin,1:15.498
7,5,Gabriel BortoletoBOR,Kick Sauber,1:15.725
8,1,Max VerstappenVER,Red Bull Racing,1:15.728
9,30,Liam LawsonLAW,Racing Bulls,1:15.821
10,6,Isack HadjarHAD,Racing Bulls,1:15.915
11,87,Oliver BearmanBEA,Haas,1:15.694
12,44,Lewis HamiltonHAM,Ferrari,1:15.702
13,55,Carlos SainzSAI,Williams,1:15.781
14,43,Franco ColapintoCOL,Alpine,1:16.159
15,12,Kimi AntonelliANT,Mercedes,1:16.386
16,10,Pierre GaslyGAS,Alpine,1:15.966
17,31,Esteban OconOCO,Haas,1:16.023
18,27,Nico HulkenbergHUL,Kick Sauber,1:16.081
19,23,Alexander AlbonALB,Williams,1:16.223
20,22,Yuki TsunodaTSU,Red Bull Racing,1:15.899
