POS.,NO.,DRIVER,TEAM,TIME
1,81,Oscar PiastriPIA,McLaren,1:08.662
2,4,Lando NorrisNOR,McLaren,1:08.674
3,1,Max VerstappenVER,Red Bull Racing,1:08.925
4,6,Isack HadjarHAD,Racing Bulls,1:09.208
5,63,George RussellRUS,Mercedes,1:09.255
6,16,Charles LeclercLEC,Ferrari,1:09.340
7,44,Lewis HamiltonHAM,Ferrari,1:09.390
8,30,Liam LawsonLAW,Racing Bulls,1:09.500
9,55,Carlos SainzSAI,Williams,1:09.505
10,14,Fernando AlonsoALO,Aston Martin,1:09.630
11,12,Kimi AntonelliANT,Mercedes,1:09.493
12,22,Yuki TsunodaTSU,Red Bull Racing,1:09.622
13,5,Gabriel BortoletoBOR,Kick Sauber,1:09.622
14,10,Pierre GaslyGAS,Alpine,1:09.637
15,23,Alexander AlbonALB,Williams,1:09.652
16,43,Franco ColapintoCOL,Alpine,1:10.104
17,27,Nico HulkenbergHUL,Kick Sauber,1:10.195
18,31,Esteban OconOCO,Haas,1:10.197
19,18,Lance StrollSTR,Aston Martin,
20,87,Oliver BearmanBEA,Haas,1:10.262
