POS.,NO.,DRIVER,TEAM,TIME
1,4,Lando NorrisNOR,McLaren,1:09.954
2,16,Charles LeclercLEC,Ferrari,1:10.063
3,81,Oscar PiastriPIA,McLaren,1:10.129
4,1,Max VerstappenVER,Red Bull Racing,1:10.669
5,6,Isack HadjarHAD,Racing Bulls,1:10.923
6,14,Fernando AlonsoALO,Aston Martin,1:10.924
7,44,Lewis HamiltonHAM,Ferrari,1:10.382
8,31,Esteban OconOCO,Haas,1:10.942
9,30,Liam LawsonLAW,Racing Bulls,1:11.129
10,23,Alexander AlbonALB,Williams,1:11.213
11,55,Carlos SainzSAI,Williams,1:11.362
12,22,Yuki TsunodaTSU,Red Bull Racing,1:11.415
13,27,Nico HulkenbergHUL,Kick Sauber,1:11.596
14,63,George RussellRUS,Mercedes,
15,12,Kimi AntonelliANT,Mercedes,
16,5,Gabriel BortoletoBOR,Kick Sauber,1:11.902
17,10,Pierre GaslyGAS,Alpine,1:11.994
18,43,Franco ColapintoCOL,Alpine,1:12.597
19,18,Lance StrollSTR,Aston Martin,1:12.563
20,87,Oliver BearmanBEA,Haas,1:11.979
